STATION,LINENAME,DATE,TIME,ENTRIES,EXITS
BEDFORD AV,L,02/11/2017,03:00:00,67317454,0016782565                                             
BEDFORD AV,L,02/11/2017,07:00:00,67317461,0016782566                                             
BEDFORD AV,L,02/11/2017,11:00:00,67317554,0016782567                                             
BEDFORD AV,L,02/11/2017,15:00:00,67317675,0016782573                                             
BEDFORD AV,L,02/11/2017,19:00:00,67317813,0016782591                                             
BEDFORD AV,L,02/11/2017,23:00:00,67317927,0016782599                                             
BEDFORD AV,L,02/12/2017,03:00:00,67317957,0016782600                                             
BEDFORD AV,L,02/12/2017,07:00:00,67317960,0016782600                                             
BEDFORD AV,L,02/12/2017,11:00:00,67318007,0016782600                                             
BEDFORD AV,L,02/12/2017,15:00:00,67318128,0016782603                                             
BEDFORD AV,L,02/12/2017,19:00:00,67318253,0016782604                                             
BEDFORD AV,L,02/12/2017,23:00:00,67318306,0016782609                                             
BEDFORD AV,L,02/13/2017,03:00:00,67318310,0016782609                                             
BEDFORD AV,L,02/13/2017,07:00:00,67318339,0016782609                                             
BEDFORD AV,L,02/13/2017,11:00:00,67318905,0016782613                                             
BEDFORD AV,L,02/13/2017,15:00:00,67319056,0016782617                                             
BEDFORD AV,L,02/13/2017,19:00:00,67319285,0016782630                                             
BEDFORD AV,L,02/13/2017,23:00:00,67319374,0016782639                                             
BEDFORD AV,L,02/14/2017,03:00:00,67319385,0016782639                                             
BEDFORD AV,L,02/14/2017,07:00:00,67319418,0016782639                                             
BEDFORD AV,L,02/14/2017,11:00:00,67320154,0016782640                                             
BEDFORD AV,L,02/14/2017,15:00:00,67320322,0016782642                                             
BEDFORD AV,L,02/14/2017,19:00:00,67320563,0016782649                                             
BEDFORD AV,L,02/14/2017,23:00:00,67320691,0016782654                                             
BEDFORD AV,L,02/15/2017,03:00:00,67320711,0016782656                                             
BEDFORD AV,L,02/15/2017,07:00:00,67320739,0016782657                                             
BEDFORD AV,L,02/15/2017,11:00:00,67321434,0016782658                                             
BEDFORD AV,L,02/15/2017,15:00:00,67321596,0016782662                                             
BEDFORD AV,L,02/15/2017,19:00:00,67321866,0016782671                                             
BEDFORD AV,L,02/15/2017,23:00:00,67321986,0016782680                                             
BEDFORD AV,L,02/16/2017,03:00:00,67322010,0016782682                                             
BEDFORD AV,L,02/16/2017,07:00:00,67322044,0016782683                                             
BEDFORD AV,L,02/16/2017,11:00:00,67322671,0016782684                                             
BEDFORD AV,L,02/16/2017,15:00:00,67322805,0016782688                                             
BEDFORD AV,L,02/16/2017,19:00:00,67323050,0016782696                                             
BEDFORD AV,L,02/16/2017,23:00:00,67323168,0016782698                                             
BEDFORD AV,L,02/17/2017,03:00:00,67323198,0016782699                                             
BEDFORD AV,L,02/17/2017,07:00:00,67323225,0016782700                                             
BEDFORD AV,L,02/17/2017,11:00:00,67323729,0016782702                                             
BEDFORD AV,L,02/17/2017,15:00:00,67323895,0016782707                                             
BEDFORD AV,L,02/17/2017,19:00:00,67324140,0016782712                                             
BEDFORD AV,L,02/17/2017,23:00:00,67324287,0016782719                                             
BEDFORD AV,L,02/11/2017,03:00:00,117460421,0000004224                                             
BEDFORD AV,L,02/11/2017,07:00:00,117460426,0000004224                                             
BEDFORD AV,L,02/11/2017,11:00:00,117460447,0000004229                                             
BEDFORD AV,L,02/11/2017,15:00:00,117460544,0000004253                                             
BEDFORD AV,L,02/11/2017,19:00:00,117460659,0000004281                                             
BEDFORD AV,L,02/11/2017,23:00:00,117460760,0000004313                                             
BEDFORD AV,L,02/12/2017,03:00:00,117460785,0000004324                                             
BEDFORD AV,L,02/12/2017,07:00:00,117460790,0000004325                                             
BEDFORD AV,L,02/12/2017,11:00:00,117460812,0000004326                                             
BEDFORD AV,L,02/12/2017,15:00:00,117460868,0000004342                                             
BEDFORD AV,L,02/12/2017,19:00:00,117460921,0000004357                                             
BEDFORD AV,L,02/12/2017,23:00:00,117460957,0000004358                                             
BEDFORD AV,L,02/13/2017,03:00:00,117460960,0000004361                                             
BEDFORD AV,L,02/13/2017,07:00:00,117460964,0000004362                                             
BEDFORD AV,L,02/13/2017,11:00:00,117461240,0000004369                                             
BEDFORD AV,L,02/13/2017,15:00:00,117461279,0000004379                                             
BEDFORD AV,L,02/13/2017,19:00:00,117461360,0000004417                                             
BEDFORD AV,L,02/13/2017,23:00:00,117461404,0000004445                                             
BEDFORD AV,L,02/14/2017,03:00:00,117461411,0000004446                                             
BEDFORD AV,L,02/14/2017,07:00:00,117461415,0000004447                                             
BEDFORD AV,L,02/14/2017,11:00:00,117461688,0000004458                                             
BEDFORD AV,L,02/14/2017,15:00:00,117461741,0000004465                                             
BEDFORD AV,L,02/14/2017,19:00:00,117461845,0000004519                                             
BEDFORD AV,L,02/14/2017,23:00:00,117461901,0000004529                                             
BEDFORD AV,L,02/15/2017,03:00:00,117461905,0000004529                                             
BEDFORD AV,L,02/15/2017,07:00:00,117461905,0000004531                                             
BEDFORD AV,L,02/15/2017,11:00:00,117462177,0000004541                                             
BEDFORD AV,L,02/15/2017,15:00:00,117462231,0000004546                                             
BEDFORD AV,L,02/15/2017,19:00:00,117462334,0000004580                                             
BEDFORD AV,L,02/15/2017,23:00:00,117462393,0000004597                                             
BEDFORD AV,L,02/16/2017,03:00:00,117462403,0000004600                                             
BEDFORD AV,L,02/16/2017,07:00:00,117462403,0000004600                                             
BEDFORD AV,L,02/16/2017,11:00:00,117462655,0000004602                                             
BEDFORD AV,L,02/16/2017,15:00:00,117462696,0000004614                                             
BEDFORD AV,L,02/16/2017,19:00:00,117462797,0000004657                                             
BEDFORD AV,L,02/16/2017,23:00:00,117462860,0000004684                                             
BEDFORD AV,L,02/17/2017,03:00:00,117462872,0000004684                                             
BEDFORD AV,L,02/17/2017,07:00:00,117462876,0000004685                                             
BEDFORD AV,L,02/17/2017,11:00:00,117463058,0000004690                                             
BEDFORD AV,L,02/17/2017,15:00:00,117463113,0000004698                                             
BEDFORD AV,L,02/17/2017,19:00:00,117463216,0000004746                                             
BEDFORD AV,L,02/17/2017,23:00:00,117463277,0000004754                                             
BEDFORD AV,L,02/11/2017,03:00:00,1165148,0002545762                                             
BEDFORD AV,L,02/11/2017,07:00:00,1165185,0002545813                                             
BEDFORD AV,L,02/11/2017,11:00:00,1165367,0002546170                                             
BEDFORD AV,L,02/11/2017,15:00:00,1165662,0002546928                                             
BEDFORD AV,L,02/11/2017,19:00:00,1165985,0002547931                                             
BEDFORD AV,L,02/11/2017,23:00:00,1166239,0002548915                                             
BEDFORD AV,L,02/12/2017,03:00:00,1166403,0002549278                                             
BEDFORD AV,L,02/12/2017,07:00:00,1166428,0002549330                                             
BEDFORD AV,L,02/12/2017,11:00:00,1166562,0002549518                                             
BEDFORD AV,L,02/12/2017,15:00:00,1166830,0002550126                                             
BEDFORD AV,L,02/12/2017,19:00:00,1167072,0002550838                                             
BEDFORD AV,L,02/12/2017,23:00:00,1167215,0002551205                                             
BEDFORD AV,L,02/13/2017,03:00:00,1167266,0002551276                                             
BEDFORD AV,L,02/13/2017,07:00:00,1167351,0002551364                                             
BEDFORD AV,L,02/13/2017,11:00:00,1168061,0002552248                                             
BEDFORD AV,L,02/13/2017,15:00:00,1168396,0002552647                                             
BEDFORD AV,L,02/13/2017,19:00:00,1168787,0002553862                                             
BEDFORD AV,L,02/13/2017,23:00:00,1168958,0002554850                                             
BEDFORD AV,L,02/14/2017,03:00:00,1168997,0002554963                                             
BEDFORD AV,L,02/14/2017,07:00:00,1169102,0002555040                                             
BEDFORD AV,L,02/14/2017,11:00:00,1169764,0002555993                                             
BEDFORD AV,L,02/14/2017,15:00:00,1170126,0002556430                                             
BEDFORD AV,L,02/14/2017,19:00:00,1170502,0002557854                                             
BEDFORD AV,L,02/14/2017,23:00:00,1170725,0002558908                                             
BEDFORD AV,L,02/15/2017,03:00:00,1170802,0002559064                                             
BEDFORD AV,L,02/15/2017,07:00:00,1170880,0002559153                                             
BEDFORD AV,L,02/15/2017,11:00:00,1171573,0002560033                                             
BEDFORD AV,L,02/15/2017,15:00:00,1171869,0002560556                                             
BEDFORD AV,L,02/15/2017,19:00:00,1172225,0002561771                                             
BEDFORD AV,L,02/15/2017,23:00:00,1172412,0002562835                                             
BEDFORD AV,L,02/16/2017,03:00:00,1172501,0002562967                                             
BEDFORD AV,L,02/16/2017,07:00:00,1172596,0002563041                                             
BEDFORD AV,L,02/16/2017,11:00:00,1173376,0002563897                                             
BEDFORD AV,L,02/16/2017,15:00:00,1173718,0002564359                                             
BEDFORD AV,L,02/16/2017,19:00:00,1174125,0002565614                                             
BEDFORD AV,L,02/16/2017,23:00:00,1174345,0002566668                                             
BEDFORD AV,L,02/17/2017,03:00:00,1174397,0002566840                                             
