C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/16/2017,07:00:00,REGULAR,1172596,0002563041                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/16/2017,11:00:00,REGULAR,1173376,0002563897                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/16/2017,15:00:00,REGULAR,1173718,0002564359                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/16/2017,19:00:00,REGULAR,1174125,0002565614                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/16/2017,23:00:00,REGULAR,1174345,0002566668                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/17/2017,03:00:00,REGULAR,1174397,0002566840                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/17/2017,07:00:00,REGULAR,1174478,0002566928                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/17/2017,11:00:00,REGULAR,1175208,0002567845                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/17/2017,15:00:00,REGULAR,1175610,0002568480                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/17/2017,19:00:00,REGULAR,1175976,0002569878                                             
H009,R235,00-06-02,BEDFORD AV,L,BMT,02/17/2017,23:00:00,REGULAR,1176227,0002570945                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/11/2017,03:00:00,REGULAR,36834,0000072971                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/11/2017,07:00:00,REGULAR,36865,0000073017                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/11/2017,11:00:00,REGULAR,37003,0000073326                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/11/2017,15:00:00,REGULAR,37249,0000073984                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/11/2017,19:00:00,REGULAR,37532,0000074843                                             
H009,R235,00-06-03,BEDFORD AV,L,BMT,02/11/2017,23:00:00,REGULAR,37782,0000075750                                             
